size,stars,forks_count,open_issues,has_wiki,has_pages,has_issues,has_projects,num_topics,javascript,typescript,python,rust,other_language,desc_word_count,created_at,updated_at,pushed_at,has_homepage,mit_license,nan_license,apache_license,other_license,remain_license
399247,367165,32189,214,False,True,True,False,16,False,True,False,False,False,10,394288,467983,467983,1,0,0,0,0,1
16794,280243,55348,45,False,True,True,False,5,False,False,False,False,True,5,383740,467983,467908,1,0,0,0,0,1
188163,265876,21414,16732,False,False,False,False,0,False,False,False,False,True,14,431550,467983,467328,1,0,0,0,1,0
20576,257898,67735,56,False,False,True,False,12,False,False,False,False,True,11,406992,467983,467876,0,0,0,0,0,1
1461,254832,25801,63,False,True,True,False,5,False,False,False,False,True,9,390299,467983,467974,0,0,0,0,0,1
4948,240676,27517,194,False,False,True,False,13,False,False,True,False,False,6,405142,467983,467913,1,1,0,0,0,0
1531959,240042,33920,416,True,True,True,False,18,False,True,False,False,False,14,413772,467983,467983,1,0,0,0,1,0
11187,220590,39149,379,True,False,True,True,13,False,False,True,False,False,15,413367,467983,467707,0,0,0,0,1,0
323598,207773,43360,1269,True,True,True,True,6,True,False,False,False,False,8,380390,467983,467960,1,1,0,0,0,0
31925,203701,33754,636,True,False,True,True,4,False,True,False,False,False,13,381961,467983,467941,1,1,0,0,0,0
967,201805,19705,287,False,False,True,False,6,False,False,False,False,True,9,423850,467983,467980,1,0,1,0,0,0
939671,174766,88367,2161,False,False,True,True,8,False,False,False,False,True,8,401904,467983,467983,1,0,0,1,0,0
13236,170143,27928,310,False,False,True,False,8,True,False,False,False,False,15,422742,467983,467896,0,1,0,0,0,0
6728,168567,23181,351,False,True,False,False,6,False,False,True,False,False,11,389971,467983,467874,1,0,0,0,1,0
12512,167992,32555,132,False,False,True,True,13,False,False,False,False,True,8,384601,467982,467740,0,0,0,0,1,0
116174,164318,50193,181,True,True,True,True,8,False,False,False,False,True,2,421813,467982,467375,1,0,1,0,0,0
230705,163742,78486,402,False,True,True,True,7,True,False,False,False,False,17,364435,467983,467980,1,1,0,0,0,0
10228,159064,25267,622,True,False,True,True,16,False,False,False,False,True,53,347632,467982,467983,1,1,0,0,0,0
13434,158865,40127,164,True,False,True,True,14,False,False,True,False,False,5,407959,467983,467982,1,1,0,0,0,0
259457,153546,25380,11577,True,False,True,True,19,False,False,False,False,True,14,396021,467983,467983,1,0,0,0,0,1
4441554,152009,48078,312,False,False,False,True,0,False,False,False,False,True,4,365324,467983,467971,0,0,0,0,1,0
2356,148144,84200,407,False,False,False,False,2,False,False,False,False,True,6,358123,467983,467959,0,0,0,0,0,1
868084,146404,25728,7040,True,False,True,True,6,False,True,False,False,False,3,400362,467983,467983,1,1,0,0,0,0
1204,139412,17987,16,True,False,True,True,4,False,False,False,False,True,10,388654,467983,467568,0,1,0,0,0,0
2673,136279,13587,222,False,False,True,True,6,False,False,False,False,True,7,397813,467983,467978,0,0,1,0,0,0
310266,136068,49116,683,True,False,True,True,0,False,False,True,False,False,3,422199,467983,467305,0,0,1,0,0,0
3663,134359,25601,160,True,True,True,False,14,True,False,False,False,False,3,375502,467983,467959,0,1,0,0,0,0
160725,133877,44054,66,True,False,True,True,10,False,False,False,False,True,6,423803,467983,467976,1,0,0,1,0,0
7412,133484,27412,776,True,True,True,True,6,False,False,True,False,False,9,466376,467983,467982,1,1,0,0,0,0
15331,132418,7613,99,False,False,True,True,7,False,False,False,False,True,18,398088,467983,467983,1,0,0,0,1,0
64866,120471,9001,4735,False,True,True,True,0,False,False,True,False,False,11,357925,467983,467936,1,0,0,0,0,1
124715,116125,22338,324,True,False,True,True,8,False,False,False,False,True,13,439472,467983,467927,1,0,1,0,0,0
592990,111674,11497,0,True,False,True,True,15,True,False,False,False,False,8,419992,467983,467963,1,0,0,0,0,1
349759,111472,16561,8319,True,False,True,True,4,False,False,False,False,True,4,391226,467983,467978,1,0,0,0,0,1
851308,109667,23275,1977,True,True,True,True,8,False,False,False,False,True,8,394673,467983,467983,1,1,0,0,0,0
138416,107465,14675,894,False,False,True,True,9,False,False,False,False,True,10,379367,467980,467983,1,1,0,0,0,0
1838660,106461,23928,1984,False,False,True,False,14,True,False,False,False,False,3,409917,467983,467983,1,1,0,0,0,0
42671,105386,23311,7,True,False,True,False,5,True,False,False,False,False,10,357111,467983,467902,1,0,0,0,0,1
438,102799,14449,38,True,False,True,True,8,False,False,False,False,True,5,414435,467983,467772,0,1,0,0,0,0
1236,102519,27530,28,False,False,False,False,14,False,False,False,False,True,2,384312,467982,467065,1,0,0,0,0,1
10151,101827,10967,145,False,False,True,False,6,False,False,False,False,True,10,390179,467983,467947,1,1,0,0,0,0
144265,101078,20596,699,True,False,True,True,20,False,False,True,False,False,10,428004,467983,467983,1,0,0,1,0,0
12315,100229,10324,441,False,False,True,True,5,True,False,False,False,False,9,391220,467978,467914,1,1,0,0,0,0
23405,99833,26367,2011,False,True,True,True,3,True,False,False,False,False,10,407988,467983,467934,1,1,0,0,0,0
1194201,98519,36170,2474,False,False,True,True,4,False,False,False,False,True,5,389468,467983,467983,1,0,0,1,0,0
3479,98079,7283,44,False,False,False,False,19,False,False,False,False,True,14,424928,467983,467873,0,1,0,0,0,0
1002155,95490,25926,1707,False,False,True,True,9,True,False,False,False,False,4,393618,467982,467983,1,0,0,0,1,0
1281470,91945,34698,501,True,True,True,False,12,True,False,False,False,False,3,352601,467983,467983,1,1,0,0,0,0
2106801,91370,11772,6312,True,False,True,True,4,False,True,False,False,False,12,389725,467983,467980,1,0,0,1,0,0
32024,90794,11844,17,True,False,True,False,10,False,True,False,False,False,10,407691,467983,467855,1,1,0,0,0,0
323859,90736,5275,4851,True,False,True,True,8,False,False,False,False,True,6,432423,467983,467971,0,1,0,0,0,0
