branches,commits,createdAt,diskUsage,followers,following,forkCount,gistComments,gistStar,gists,hasWikiEnabled,iClosedComments,iClosedParticipants,iOpenComments,iOpenParticipants,issuesClosed,issuesOpen,members,organizations,prClosed,prClosedComments,prClosedCommits,prMerged,prMergedComments,prMergedCommits,prOpen,prOpenComments,prOpenCommits,pushedAt,readmeCharCount,readmeLinkCount,readmeSize,readmeWordCount,releases,repositories,stars,subscribersCount,tags,type,updatedAt,websiteUrl,desWordCount,desCharCount,mit_license,nan_license,apache_license,other_license,remain_license,JavaScript,Python,Java,Objective-C,Ruby,PHP,other_language
0,1,700.0,394016,132778,9.0,0.0,51,0.0,0.0,1.0,1,586,252,50,25,109,9,0.0,0.0,9,39,36,67,135,188,0,0,0,421887,5406,18,5406,817,19,1,153,17,19,1,421845,0,18,104,0,0,0,0,1,0,0,1,0,0,0,0
1,1,141.0,394024,808,1280.0,16.0,52,9.0,31.0,164.0,1,3,9,4,19,4,10,0.0,1.0,4,7,8,7,8,11,0,0,0,401636,912,9,917,134,0,113,154,42,0,1,421366,0,6,32,0,1,0,0,0,1,0,0,0,0,0,0
2,1,95.0,394012,3742,404.0,44.0,29,4.0,7.0,92.0,1,2,4,13,6,2,4,0.0,3.0,0,0,0,2,0,7,1,0,29,403769,5918,19,5918,882,0,125,190,14,0,1,421538,1,7,65,0,0,1,0,0,0,0,0,0,0,0,1
3,1,100.0,394027,2260,248.0,713.0,23,0.0,0.0,33.0,1,25,21,33,12,10,5,0.0,2.0,0,0,0,2,8,3,0,0,0,417782,12409,12,12409,1640,0,136,211,12,2,1,421622,1,7,45,0,0,1,0,0,0,0,0,0,0,0,1
4,3,96.0,394018,131,22.0,39.0,91,0.0,2.0,8.0,1,45,48,27,38,19,20,0.0,0.0,5,10,58,21,13,26,7,19,23,421098,2014,2,2014,210,0,43,218,13,2,1,421836,1,2,16,0,1,0,0,0,1,0,0,0,0,0,0
5,1,156.0,394011,138,49.0,37.0,116,3.0,3.0,10.0,1,182,118,9,10,54,5,0.0,1.0,4,8,5,27,61,36,0,0,0,417400,11498,41,11506,1753,0,45,239,23,0,1,421246,1,10,72,0,0,0,0,1,0,0,0,0,0,0,1
6,1,34.0,394011,624,9310.0,17.0,29,18.0,12.0,9.0,1,2,3,4,3,2,1,0.0,4.0,1,0,3,6,0,13,0,0,0,400540,1096,4,1103,175,0,72,253,43,0,1,421177,1,3,21,0,0,1,0,0,0,0,0,0,0,0,1
7,108,142.0,394024,157,1500.0,261.0,59,5.0,8.0,45.0,1,50,56,28,46,28,22,0.0,21.0,128,3,109,44,45,60,2,0,7,421737,9487,20,9487,1224,5,383,259,6,22,1,421818,1,5,31,0,0,0,0,1,1,0,0,0,0,0,0
8,1,9.0,394011,200,550.0,2.0,135,0.0,0.0,0.0,1,4,7,0,0,3,0,0.0,0.0,0,0,0,0,0,0,0,0,0,416834,7729,10,9207,565,0,92,339,13,0,1,421707,1,3,73,0,1,0,0,0,0,0,0,1,0,0,0
9,2,109.0,394029,124,23.0,0.0,41,0.0,0.0,1.0,1,80,54,51,40,20,13,0.0,2.0,4,22,5,17,30,33,1,4,1,405495,3000,8,3002,465,0,58,381,34,3,1,421818,0,4,26,0,0,1,0,0,0,0,0,0,0,0,1
10,1,354.0,394021,354,407.0,614.0,35,24.0,111.0,40.0,1,81,56,17,31,35,22,0.0,4.0,1,3,5,30,103,261,1,2,34,421883,9390,9,9390,1250,0,70,399,35,1,1,421883,1,9,58,0,0,0,0,1,0,1,0,0,0,0,0
11,5,414.0,394019,1162,38.0,57.0,26,0.0,0.0,4.0,1,11,14,2,4,9,3,0.0,0.0,1,0,1,88,27,300,0,0,0,414322,13522,21,13522,1450,0,31,414,21,0,1,421261,1,8,62,1,0,0,0,0,0,1,0,0,0,0,0
12,1,231.0,394008,130,63.0,26.0,34,0.0,2.0,7.0,1,40,25,25,11,12,5,0.0,1.0,2,4,3,35,41,85,0,0,0,421318,5631,3,6457,582,1,69,445,8,1,1,421768,0,11,85,0,0,1,0,0,0,0,0,0,0,0,1
13,1,33.0,394010,27,93.0,6.0,53,1.0,8.0,33.0,1,1,2,0,0,1,0,0.0,0.0,0,0,0,2,3,2,0,0,0,421325,7899,69,7905,1056,0,93,526,36,0,1,421045,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
14,1,276.0,394023,302,624.0,92.0,359,4.0,10.0,28.0,1,7,7,0,0,4,0,0.0,2.0,9,15,30,100,111,122,0,0,0,419950,1198,3,1205,197,0,76,564,25,0,1,421841,1,7,45,0,0,0,0,1,0,0,0,0,0,0,1
15,1,31.0,394015,29,335.0,107.0,13,1.0,6.0,30.0,1,3,2,1,3,1,2,0.0,4.0,0,0,0,6,6,14,4,1,70,417358,0,0,0,0,0,174,655,7,0,1,421536,0,6,37,0,1,0,0,0,0,0,0,0,0,0,1
16,1,23.0,394024,1425,2187.0,11.0,238,2.0,22.0,19.0,1,3,2,3,5,1,2,0.0,1.0,0,0,0,1,0,1,1,0,1,403769,5336,9,5367,815,0,15,656,88,0,1,421793,1,9,57,0,0,0,1,0,1,0,0,0,0,0,0
