stars,size,forks_count,open_issues,has_wiki,has_pages,has_issues,has_projects,num_topics,javascript,typescript,python,rust,other_language,desc_word_count,created_at,updated_at,pushed_at,has_homepage,mit_license,nan_license,apache_license,other_license,remain_license
367165,399247,32189,214,False,True,True,False,16,False,True,False,False,False,10,394288,467983,467983,1,0,0,0,0,1
280243,16794,55348,45,False,True,True,False,5,False,False,False,False,True,5,383740,467983,467908,1,0,0,0,0,1
265876,188163,21414,16732,False,False,False,False,0,False,False,False,False,True,14,431550,467983,467328,1,0,0,0,1,0
257898,20576,67735,56,False,False,True,False,12,False,False,False,False,True,11,406992,467983,467876,0,0,0,0,0,1
254832,1461,25801,63,False,True,True,False,5,False,False,False,False,True,9,390299,467983,467974,0,0,0,0,0,1
240676,4948,27517,194,False,False,True,False,13,False,False,True,False,False,6,405142,467983,467913,1,1,0,0,0,0
240042,1531959,33920,416,True,True,True,False,18,False,True,False,False,False,14,413772,467983,467983,1,0,0,0,1,0
220590,11187,39149,379,True,False,True,True,13,False,False,True,False,False,15,413367,467983,467707,0,0,0,0,1,0
207773,323598,43360,1269,True,True,True,True,6,True,False,False,False,False,8,380390,467983,467960,1,1,0,0,0,0
203701,31925,33754,636,True,False,True,True,4,False,True,False,False,False,13,381961,467983,467941,1,1,0,0,0,0
201805,967,19705,287,False,False,True,False,6,False,False,False,False,True,9,423850,467983,467980,1,0,1,0,0,0
174766,939671,88367,2161,False,False,True,True,8,False,False,False,False,True,8,401904,467983,467983,1,0,0,1,0,0
170143,13236,27928,310,False,False,True,False,8,True,False,False,False,False,15,422742,467983,467896,0,1,0,0,0,0
168567,6728,23181,351,False,True,False,False,6,False,False,True,False,False,11,389971,467983,467874,1,0,0,0,1,0
167992,12512,32555,132,False,False,True,True,13,False,False,False,False,True,8,384601,467982,467740,0,0,0,0,1,0
164318,116174,50193,181,True,True,True,True,8,False,False,False,False,True,2,421813,467982,467375,1,0,1,0,0,0
163742,230705,78486,402,False,True,True,True,7,True,False,False,False,False,17,364435,467983,467980,1,1,0,0,0,0
159064,10228,25267,622,True,False,True,True,16,False,False,False,False,True,53,347632,467982,467983,1,1,0,0,0,0
158865,13434,40127,164,True,False,True,True,14,False,False,True,False,False,5,407959,467983,467982,1,1,0,0,0,0
