,size,forks_count,open_issues,has_wiki,has_pages,has_projects,has_discussions,author_type,contributors,commits,comments,deployments,num_topics,javascript,typescript,other_language,desc_word_count,created_at,updated_at,pushed_at,has_homepage,mit_license,apache_license,other_license,remain_license,stars
0,399247,32189,214,0,1,0,0,0,396,33082,256,6897,16,0,1,0,10,394284,467979,467980,1,0,0,0,1,367165
1,16794,55348,45,0,1,0,0,0,430,8341,156,3743,5,0,0,1,5,383737,467979,467905,1,0,0,0,1,280243
2,188163,21414,16732,0,0,0,0,1,405,3189,238,631,0,0,0,1,14,431546,467980,467324,1,0,0,1,0,265876
3,20576,67735,56,0,0,0,0,1,279,2359,24,0,12,0,0,1,11,406989,467980,467873,0,0,0,0,1,257898
4,1461,25801,63,0,1,0,0,1,437,1091,43,4,5,0,0,1,9,390296,467980,467971,0,0,0,0,1,254832
5,4948,27517,194,0,0,0,0,0,431,4527,44,0,13,0,0,0,6,405138,467979,467909,1,1,0,0,0,240676
6,1531959,33920,416,1,1,0,0,1,470,3211,36,1564,18,0,1,0,14,413768,467980,467979,1,0,0,1,0,240042
7,11187,39149,379,1,0,1,0,1,110,329,25,0,13,0,0,0,15,413362,467980,467703,0,0,0,1,0,220590
8,323598,43360,1269,1,1,1,0,0,426,15814,685,143,6,1,0,0,8,380386,467980,467956,1,1,0,0,0,207773
9,31925,33754,636,1,0,1,0,0,350,3547,441,0,4,0,1,0,13,381957,467980,467938,1,1,0,0,0,203701
10,967,19705,287,0,0,0,0,0,103,520,6,0,6,0,0,1,9,423846,467980,467976,1,0,0,0,0,201805
11,939671,88367,2161,0,0,1,0,0,409,148353,933,0,8,0,0,1,8,401899,467979,467979,1,0,1,0,0,174766
12,13236,27928,310,0,0,0,0,1,192,1097,41,0,8,1,0,0,15,422738,467980,467893,0,1,0,0,0,170143
13,6728,23181,351,0,1,0,0,1,365,1639,33,198,6,0,0,0,11,389967,467980,467871,1,0,0,1,0,168567
14,12512,32555,132,0,0,1,0,1,172,1892,74,0,13,0,0,1,8,384597,467978,467736,0,0,0,1,0,167992
15,116174,50193,181,1,1,1,0,1,218,3776,17,1274,8,0,0,1,2,421809,467979,467372,1,0,0,0,0,164318
16,230705,78486,402,0,1,1,1,0,367,22419,1716,133,7,1,0,0,17,364431,467980,467977,1,1,0,0,0,163742
17,10228,25267,622,1,0,1,1,0,391,6903,723,0,16,0,0,1,53,347628,467979,467979,1,1,0,0,0,159064
18,13434,40127,164,1,0,1,1,0,459,2807,120,0,14,0,0,0,5,407956,467980,467979,1,1,0,0,0,158865
19,259457,25380,11577,1,0,1,0,0,387,34984,496,0,19,0,0,1,14,396017,467980,467980,1,0,0,0,1,153546
21,2356,84200,407,0,0,0,0,0,419,3528,369,0,2,0,0,1,6,358118,467980,467955,0,0,0,0,1,148144
22,868084,25728,7040,1,0,1,0,0,348,109265,3927,0,6,0,1,0,3,400358,467980,467980,1,1,0,0,0,146404
23,1204,17987,16,1,0,1,0,0,129,998,29,0,4,0,0,1,10,388650,467980,467564,0,1,0,0,0,139412
24,2673,13587,222,0,0,1,0,1,147,1210,54,0,6,0,0,1,7,397809,467980,467974,0,0,0,0,0,136279
25,310266,49116,683,1,0,1,0,1,12,372,69,0,0,0,0,0,3,422194,467979,467302,0,0,0,0,0,136068
26,3663,25601,160,1,1,0,0,0,408,1954,132,9,14,1,0,0,3,375497,467979,467956,0,1,0,0,0,134359
27,160725,44054,66,1,0,1,1,1,400,4728,27,1151,10,0,0,1,6,423799,467979,467973,1,0,1,0,0,133877
28,7412,27412,776,1,1,1,1,0,287,1986,136,698,6,0,0,0,9,466371,467980,467979,1,1,0,0,0,133484
29,15331,7613,99,0,0,1,0,0,411,6059,16,0,7,0,0,1,18,398085,467980,467980,1,0,0,1,0,132418
30,64866,9001,4735,0,1,1,0,0,390,18716,1816,323,0,0,0,0,11,357921,467980,467932,1,0,0,0,1,120471
31,124715,22338,324,1,0,1,1,1,82,429,12,1,8,0,0,1,13,439467,467979,467923,1,0,0,0,0,116125
32,592990,11497,0,1,0,1,1,0,391,8972,41,2151,15,1,0,0,8,419988,467979,467960,1,0,0,0,1,111674
33,349759,16561,8319,1,0,1,1,0,390,56797,423,0,4,0,0,1,4,391223,467980,467974,1,0,0,0,1,111472
34,851308,23275,1977,1,1,1,0,0,325,27678,3305,2394,8,0,0,1,8,394668,467980,467979,1,1,0,0,0,109667
35,138416,14675,894,0,0,1,0,0,382,27343,350,0,9,0,0,1,10,379364,467977,467980,1,1,0,0,0,107465
36,1838660,23928,1984,0,0,0,1,0,449,15909,1576,1709,14,1,0,0,3,409914,467979,467980,1,1,0,0,0,106461
37,42671,23311,7,1,0,0,1,0,119,4355,177,0,5,1,0,0,10,357107,467980,467898,1,0,0,0,1,105386
38,438,14449,38,1,0,1,1,0,100,570,13,0,8,0,0,1,5,414431,467979,467768,0,1,0,0,0,102799
39,1236,27530,28,0,0,0,0,1,119,922,38,0,14,0,0,1,2,384308,467978,467061,1,0,0,0,1,102519
40,10151,10967,145,0,0,0,1,1,428,4561,26,518,6,0,0,1,10,390176,467980,467944,1,1,0,0,0,101827
41,144265,20596,699,1,0,1,0,0,437,12976,320,0,20,0,0,0,10,428000,467980,467979,1,0,1,0,0,101078
42,12315,10324,441,0,0,1,1,0,399,1450,55,0,5,1,0,0,9,391217,467975,467910,1,1,0,0,0,100229
43,23405,26367,2011,0,1,1,1,0,455,2800,216,34,3,1,0,0,10,407985,467980,467931,1,1,0,0,0,99833
44,1194201,36170,2474,0,0,1,0,0,355,116299,21568,4,4,0,0,1,5,389465,467979,467980,1,0,1,0,0,98519
45,3479,7283,44,0,0,0,0,1,98,1066,6,0,19,0,0,1,14,424925,467980,467870,0,1,0,0,0,98079
46,1002155,25926,1707,0,0,1,1,0,442,39001,1609,0,9,1,0,0,4,393614,467979,467980,1,0,0,1,0,95490
47,1281470,34698,501,1,1,0,0,1,364,41657,2764,413,12,1,0,0,3,352597,467980,467979,1,1,0,0,0,91945
48,2106801,11772,6312,1,0,1,0,0,352,34822,3621,1,4,0,1,0,12,389721,467979,467976,1,0,1,0,0,91370
49,32024,11844,17,1,0,0,1,1,140,1254,79,4074,10,0,1,0,10,407687,467980,467851,1,1,0,0,0,90794
50,323859,5275,4851,1,0,1,0,0,353,6597,782,0,8,0,0,1,6,432420,467980,467968,0,1,0,0,0,90736
51,101948,4864,1353,1,0,0,1,0,435,9371,235,1593,4,0,0,0,7,423980,467979,467969,1,1,0,0,0,89458
52,70080,9233,45,0,0,1,0,1,221,3810,8,0,18,0,0,1,8,418179,467978,467740,1,0,0,0,1,89308
53,133488,7780,1481,1,0,1,1,0,354,3624,2441,0,10,0,0,1,15,417349,467979,467921,0,1,0,0,0,88816
54,460502,23614,1437,0,0,1,1,0,385,27122,1169,0,7,0,1,0,5,391954,467978,467979,1,1,0,0,0,88253
55,380954,29827,1477,0,0,1,1,0,422,21931,465,255,7,0,1,0,17,391213,467980,467980,1,1,0,0,0,86798
56,155534,39637,970,1,1,1,1,0,376,25213,1761,1043,7,0,1,0,9,397186,467979,467980,1,1,0,0,0,85964
57,5525,8606,1374,1,0,1,0,0,111,2107,55,0,8,0,0,1,6,419796,467980,467868,0,0,1,0,0,83814
58,477240,8946,276,0,1,0,0,0,450,3536,100,334,8,0,1,0,4,415096,467980,467978,1,0,1,0,0,83292
59,15436,29747,1293,1,1,1,1,1,115,1019,44,77,19,0,0,1,6,414550,467980,467733,0,1,0,0,0,82392
60,520,11150,84,1,0,1,0,1,106,546,10,0,7,1,0,0,7,411136,467979,467721,0,1,0,0,0,82251
61,30762,25100,201,1,0,0,0,1,335,3454,43,306,8,0,0,1,5,390995,467979,467910,1,0,0,1,0,82045
62,923518,10799,9578,0,0,1,0,0,435,224754,54332,0,4,0,0,0,8,354639,467978,467980,1,0,0,1,0,81729
63,673299,8463,2185,0,0,1,1,0,365,50534,1355,8739,19,0,1,0,20,405070,467980,467978,1,1,0,0,0,78704
64,1778,16473,51,0,1,1,1,0,114,662,20,188,4,0,0,1,15,366220,467976,466698,1,0,0,1,0,77831
65,4031,3356,287,1,0,1,0,1,168,1636,27,0,2,0,0,0,8,396801,467979,467550,0,1,0,0,0,77492
66,30551,14888,1924,1,0,1,1,1,403,4382,599,0,16,0,0,0,4,461432,467980,467978,0,0,0,0,1,76923
67,624,9672,269,0,1,0,0,1,74,395,12,135,5,0,0,1,10,463952,467980,467958,1,0,0,0,1,75917
68,612992,46258,1198,1,0,1,0,0,370,9027,197,0,0,0,0,1,6,404059,467978,467923,0,0,0,1,0,75823
69,34199,6909,58,0,0,1,1,0,76,891,27,47,0,0,1,0,20,404583,467978,467915,1,1,0,0,0,74454
70,10632,23731,31,0,0,0,0,0,402,6898,1538,0,3,0,0,1,30,363189,467979,467924,1,0,0,0,0,73488
71,509807,13917,18,1,0,1,0,1,15,246,8,0,5,0,0,1,11,428906,467977,466484,0,0,0,0,0,73143
72,230560,5298,4,0,0,0,0,0,244,862,19,0,7,0,0,1,10,385305,467979,467797,1,0,0,0,0,72780
