size,forks_count,stars
399247,32189,367165
16794,55348,280243
188163,21414,265876
20576,67735,257898
1461,25801,254832
4948,27517,240676
1531959,33920,240042
11187,39149,220590
323598,43360,207773
31925,33754,203701
967,19705,201805
939671,88367,174766
13236,27928,170143
6728,23181,168567
12512,32555,167992
116174,50193,164318
230705,78486,163742
10228,25267,159064
13434,40127,158865
259457,25380,153546
4441554,48078,152009
2356,84200,148144
868084,25728,146404
1204,17987,139412
2673,13587,136279
310266,49116,136068
3663,25601,134359
160725,44054,133877
7412,27412,133484
15331,7613,132418
64866,9001,120471
124715,22338,116125
592990,11497,111674
349759,16561,111472
851308,23275,109667
138416,14675,107465
1838660,23928,106461
42671,23311,105386
438,14449,102799
1236,27530,102519
10151,10967,101827
144265,20596,101078
12315,10324,100229
23405,26367,99833
1194201,36170,98519
3479,7283,98079
1002155,25926,95490
1281470,34698,91945
2106801,11772,91370
32024,11844,90794
323859,5275,90736
101948,4864,89458
70080,9233,89308
133488,7780,88816
460502,23614,88253
380954,29827,86798
155534,39637,85964
5525,8606,83814
477240,8946,83292
15436,29747,82392
520,11150,82251
30762,25100,82045
923518,10799,81729
673299,8463,78704
1778,16473,77831
4031,3356,77492
30551,14888,76923
624,9672,75917
612992,46258,75823
34199,6909,74454
10632,23731,73488
509807,13917,73143
230560,5298,72780
110561,12425,71453
238247,29243,70841
301,6767,70775
88608,2984,70148
33645,18314,70094
6765,7617,70042
87472,10943,69850
233222,34255,69622
4451,8993,69072
517931,55318,68925
3222,7459,68807
13004,9347,68626
93406,3544,68597
91172,3317,67901
27854,11478,67640
167372,38651,67356
3307,7215,67174
115087,7192,67158
1317690,18366,67025
3761,6591,66939
57974,26830,66225
247231,4647,66041
197968,18685,65947
2870,6250,65173
165,8525,65168
112732,391,64806
614,8403,64781
1078266,23114,63847
21213,16525,63794
74938,1726,63697
132741,5525,63153
59774,8742,63073
10210,15664,63006
990559,10084,62790
46896,8947,61881
1282783,11462,61441
9096,10466,60909
10485,5850,60701
42309,11859,60645
450128,23234,60570
52003,5052,60434
411,1408,59963
131728,22549,59939
24091,12574,59826
28292,15403,59584
126287,15015,59426
330585,18348,59395
101744,28118,59170
2535,14035,58900
16027,11420,58845
35951,19349,58394
17183,10188,58263
17016,4857,58144
3080,17712,58024
221382,4622,57705
32351,20777,57476
