size,stars,forks_count,open_issues,has_wiki,has_pages,has_issues,has_projects,has_discussions,author_type,author_followers,num_topics,javascript,typescript,python,rust,other_language,desc_word_count,created_at,updated_at,pushed_at,has_homepage,mit_license,nan_license,apache_license,other_license,remain_license
399247,367165,32189,214,FALSE,TRUE,TRUE,FALSE,FALSE,Organization,13318,16,FALSE,TRUE,FALSE,FALSE,FALSE,10,394288,467983,467983,1,0,0,0,0,1
16794,280243,55348,45,FALSE,TRUE,TRUE,FALSE,FALSE,Organization,4173,5,FALSE,FALSE,FALSE,FALSE,TRUE,5,383740,467983,467908,1,0,0,0,0,1
188163,265876,21414,16732,FALSE,FALSE,FALSE,FALSE,FALSE,User,8061,0,FALSE,FALSE,FALSE,FALSE,TRUE,14,431550,467983,467328,1,0,0,0,1,0
20576,257898,67735,56,FALSE,FALSE,TRUE,FALSE,FALSE,User,19972,12,FALSE,FALSE,FALSE,FALSE,TRUE,11,406992,467983,467876,0,0,0,0,0,1
1461,254832,25801,63,FALSE,TRUE,TRUE,FALSE,FALSE,User,56010,5,FALSE,FALSE,FALSE,FALSE,TRUE,9,390299,467983,467974,0,0,0,0,0,1
4948,240676,27517,194,FALSE,FALSE,TRUE,FALSE,FALSE,Organization,1919,13,FALSE,FALSE,TRUE,FALSE,FALSE,6,405142,467983,467913,1,1,0,0,0,0
1531959,240042,33920,416,TRUE,TRUE,TRUE,FALSE,FALSE,User,27713,18,FALSE,TRUE,FALSE,FALSE,FALSE,14,413772,467983,467983,1,0,0,0,1,0
11187,220590,39149,379,TRUE,FALSE,TRUE,TRUE,FALSE,User,18150,13,FALSE,FALSE,TRUE,FALSE,FALSE,15,413367,467983,467707,0,0,0,0,1,0
323598,207773,43360,1269,TRUE,TRUE,TRUE,TRUE,FALSE,Organization,13862,6,TRUE,FALSE,FALSE,FALSE,FALSE,8,380390,467983,467960,1,1,0,0,0,0
31925,203701,33754,636,TRUE,FALSE,TRUE,TRUE,FALSE,Organization,9681,4,FALSE,TRUE,FALSE,FALSE,FALSE,13,381961,467983,467941,1,1,0,0,0,0
967,201805,19705,287,FALSE,FALSE,TRUE,FALSE,FALSE,Organization,3433,6,FALSE,FALSE,FALSE,FALSE,TRUE,9,423850,467983,467980,1,0,1,0,0,0
939671,174766,88367,2161,FALSE,FALSE,TRUE,TRUE,FALSE,Organization,8497,8,FALSE,FALSE,FALSE,FALSE,TRUE,8,401904,467983,467983,1,0,0,1,0,0
13236,170143,27928,310,FALSE,FALSE,TRUE,FALSE,FALSE,User,14499,8,TRUE,FALSE,FALSE,FALSE,FALSE,15,422742,467983,467896,0,1,0,0,0,0
6728,168567,23181,351,FALSE,TRUE,FALSE,FALSE,FALSE,User,6609,6,FALSE,FALSE,TRUE,FALSE,FALSE,11,389971,467983,467874,1,0,0,0,1,0
12512,167992,32555,132,FALSE,FALSE,TRUE,TRUE,FALSE,User,40532,13,FALSE,FALSE,FALSE,FALSE,TRUE,8,384601,467982,467740,0,0,0,0,1,0
116174,164318,50193,181,TRUE,TRUE,TRUE,TRUE,FALSE,User,14088,8,FALSE,FALSE,FALSE,FALSE,TRUE,2,421813,467982,467375,1,0,1,0,0,0
230705,163742,78486,402,FALSE,TRUE,TRUE,TRUE,TRUE,Organization,6644,7,TRUE,FALSE,FALSE,FALSE,FALSE,17,364435,467983,467980,1,1,0,0,0,0
10228,159064,25267,622,TRUE,FALSE,TRUE,TRUE,TRUE,Organization,800,16,FALSE,FALSE,FALSE,FALSE,TRUE,53,347632,467982,467983,1,1,0,0,0,0
