size,stars,forks_count,open_issues,has_wiki,has_pages,has_issues,has_projects,has_discussions,author_type,contributors,commits,comments,deployments,num_topics,javascript,typescript,python,rust,other_language,desc_word_count,created_at,updated_at,pushed_at,has_homepage,mit_license,nan_license,apache_license,other_license,remain_license
399247,367165,32189,214,FALSE,TRUE,TRUE,FALSE,FALSE,Organization,396,33082,256,6897,16,FALSE,TRUE,FALSE,FALSE,FALSE,10,394284,467979,467980,1,0,0,0,0,1
16794,280243,55348,45,FALSE,TRUE,TRUE,FALSE,FALSE,Organization,430,8341,156,3743,5,FALSE,FALSE,FALSE,FALSE,TRUE,5,383737,467979,467905,1,0,0,0,0,1
188163,265876,21414,16732,FALSE,FALSE,FALSE,FALSE,FALSE,User,405,3189,238,631,0,FALSE,FALSE,FALSE,FALSE,TRUE,14,431546,467980,467324,1,0,0,0,1,0
20576,257898,67735,56,FALSE,FALSE,TRUE,FALSE,FALSE,User,279,2359,24,0,12,FALSE,FALSE,FALSE,FALSE,TRUE,11,406989,467980,467873,0,0,0,0,0,1
1461,254832,25801,63,FALSE,TRUE,TRUE,FALSE,FALSE,User,437,1091,43,4,5,FALSE,FALSE,FALSE,FALSE,TRUE,9,390296,467980,467971,0,0,0,0,0,1
4948,240676,27517,194,FALSE,FALSE,TRUE,FALSE,FALSE,Organization,431,4527,44,0,13,FALSE,FALSE,TRUE,FALSE,FALSE,6,405138,467979,467909,1,1,0,0,0,0
1531959,240042,33920,416,TRUE,TRUE,TRUE,FALSE,FALSE,User,470,3211,36,1564,18,FALSE,TRUE,FALSE,FALSE,FALSE,14,413768,467980,467979,1,0,0,0,1,0
11187,220590,39149,379,TRUE,FALSE,TRUE,TRUE,FALSE,User,110,329,25,0,13,FALSE,FALSE,TRUE,FALSE,FALSE,15,413362,467980,467703,0,0,0,0,1,0
323598,207773,43360,1269,TRUE,TRUE,TRUE,TRUE,FALSE,Organization,426,15814,685,143,6,TRUE,FALSE,FALSE,FALSE,FALSE,8,380386,467980,467956,1,1,0,0,0,0
31925,203701,33754,636,TRUE,FALSE,TRUE,TRUE,FALSE,Organization,350,3547,441,0,4,FALSE,TRUE,FALSE,FALSE,FALSE,13,381957,467980,467938,1,1,0,0,0,0
967,201805,19705,287,FALSE,FALSE,TRUE,FALSE,FALSE,Organization,103,520,6,0,6,FALSE,FALSE,FALSE,FALSE,TRUE,9,423846,467980,467976,1,0,1,0,0,0
939671,174766,88367,2161,FALSE,FALSE,TRUE,TRUE,FALSE,Organization,409,148353,933,0,8,FALSE,FALSE,FALSE,FALSE,TRUE,8,401899,467979,467979,1,0,0,1,0,0
13236,170143,27928,310,FALSE,FALSE,TRUE,FALSE,FALSE,User,192,1097,41,0,8,TRUE,FALSE,FALSE,FALSE,FALSE,15,422738,467980,467893,0,1,0,0,0,0
6728,168567,23181,351,FALSE,TRUE,FALSE,FALSE,FALSE,User,365,1639,33,198,6,FALSE,FALSE,TRUE,FALSE,FALSE,11,389967,467980,467871,1,0,0,0,1,0
12512,167992,32555,132,FALSE,FALSE,TRUE,TRUE,FALSE,User,172,1892,74,0,13,FALSE,FALSE,FALSE,FALSE,TRUE,8,384597,467978,467736,0,0,0,0,1,0
116174,164318,50193,181,TRUE,TRUE,TRUE,TRUE,FALSE,User,218,3776,17,1274,8,FALSE,FALSE,FALSE,FALSE,TRUE,2,421809,467979,467372,1,0,1,0,0,0
230705,163742,78486,402,FALSE,TRUE,TRUE,TRUE,TRUE,Organization,367,22419,1716,133,7,TRUE,FALSE,FALSE,FALSE,FALSE,17,364431,467980,467977,1,1,0,0,0,0
10228,159064,25267,622,TRUE,FALSE,TRUE,TRUE,TRUE,Organization,391,6903,723,0,16,FALSE,FALSE,FALSE,FALSE,TRUE,53,347628,467979,467979,1,1,0,0,0,0
13434,158865,40127,164,TRUE,FALSE,TRUE,TRUE,TRUE,Organization,459,2807,120,0,14,FALSE,FALSE,TRUE,FALSE,FALSE,5,407956,467980,467979,1,1,0,0,0,0
259457,153546,25380,11577,TRUE,FALSE,TRUE,TRUE,FALSE,Organization,387,34984,496,0,19,FALSE,FALSE,FALSE,FALSE,TRUE,14,396017,467980,467980,1,0,0,0,0,1
4441554,152009,48078,312,FALSE,FALSE,FALSE,TRUE,FALSE,User,ERROR,1185791,1157,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,4,365321,467980,467967,0,0,0,0,1,0
2356,148144,84200,407,FALSE,FALSE,FALSE,FALSE,FALSE,Organization,419,3528,369,0,2,FALSE,FALSE,FALSE,FALSE,TRUE,6,358118,467980,467955,0,0,0,0,0,1
868084,146404,25728,7040,TRUE,FALSE,TRUE,TRUE,FALSE,Organization,348,109265,3927,0,6,FALSE,TRUE,FALSE,FALSE,FALSE,3,400358,467980,467980,1,1,0,0,0,0
1204,139412,17987,16,TRUE,FALSE,TRUE,TRUE,FALSE,Organization,129,998,29,0,4,FALSE,FALSE,FALSE,FALSE,TRUE,10,388650,467980,467564,0,1,0,0,0,0
2673,136279,13587,222,FALSE,FALSE,TRUE,TRUE,FALSE,User,147,1210,54,0,6,FALSE,FALSE,FALSE,FALSE,TRUE,7,397809,467980,467974,0,0,1,0,0,0
310266,136068,49116,683,TRUE,FALSE,TRUE,TRUE,FALSE,User,12,372,69,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,3,422194,467979,467302,0,0,1,0,0,0
3663,134359,25601,160,TRUE,TRUE,TRUE,FALSE,FALSE,Organization,408,1954,132,9,14,TRUE,FALSE,FALSE,FALSE,FALSE,3,375497,467979,467956,0,1,0,0,0,0
160725,133877,44054,66,TRUE,FALSE,TRUE,TRUE,TRUE,User,400,4728,27,1151,10,FALSE,FALSE,FALSE,FALSE,TRUE,6,423799,467979,467973,1,0,0,1,0,0
7412,133484,27412,776,TRUE,TRUE,TRUE,TRUE,TRUE,Organization,287,1986,136,698,6,FALSE,FALSE,TRUE,FALSE,FALSE,9,466371,467980,467979,1,1,0,0,0,0
15331,132418,7613,99,FALSE,FALSE,TRUE,TRUE,FALSE,Organization,411,6059,16,0,7,FALSE,FALSE,FALSE,FALSE,TRUE,18,398085,467980,467980,1,0,0,0,1,0
64866,120471,9001,4735,FALSE,TRUE,TRUE,TRUE,FALSE,Organization,390,18716,1816,323,0,FALSE,FALSE,TRUE,FALSE,FALSE,11,357921,467980,467932,1,0,0,0,0,1
124715,116125,22338,324,TRUE,FALSE,TRUE,TRUE,TRUE,User,82,429,12,1,8,FALSE,FALSE,FALSE,FALSE,TRUE,13,439467,467979,467923,1,0,1,0,0,0
592990,111674,11497,0,TRUE,FALSE,TRUE,TRUE,TRUE,Organization,391,8972,41,2151,15,TRUE,FALSE,FALSE,FALSE,FALSE,8,419988,467979,467960,1,0,0,0,0,1
349759,111472,16561,8319,TRUE,FALSE,TRUE,TRUE,TRUE,Organization,390,56797,423,0,4,FALSE,FALSE,FALSE,FALSE,TRUE,4,391223,467980,467974,1,0,0,0,0,1
851308,109667,23275,1977,TRUE,TRUE,TRUE,TRUE,FALSE,Organization,325,27678,3305,2394,8,FALSE,FALSE,FALSE,FALSE,TRUE,8,394668,467980,467979,1,1,0,0,0,0
138416,107465,14675,894,FALSE,FALSE,TRUE,TRUE,FALSE,Organization,382,27343,350,0,9,FALSE,FALSE,FALSE,FALSE,TRUE,10,379364,467977,467980,1,1,0,0,0,0
1838660,106461,23928,1984,FALSE,FALSE,TRUE,FALSE,TRUE,Organization,449,15909,1576,1709,14,TRUE,FALSE,FALSE,FALSE,FALSE,3,409914,467979,467980,1,1,0,0,0,0
42671,105386,23311,7,TRUE,FALSE,TRUE,FALSE,TRUE,Organization,119,4355,177,0,5,TRUE,FALSE,FALSE,FALSE,FALSE,10,357107,467980,467898,1,0,0,0,0,1
438,102799,14449,38,TRUE,FALSE,TRUE,TRUE,TRUE,Organization,100,570,13,0,8,FALSE,FALSE,FALSE,FALSE,TRUE,5,414431,467979,467768,0,1,0,0,0,0
1236,102519,27530,28,FALSE,FALSE,FALSE,FALSE,FALSE,User,119,922,38,0,14,FALSE,FALSE,FALSE,FALSE,TRUE,2,384308,467978,467061,1,0,0,0,0,1
10151,101827,10967,145,FALSE,FALSE,TRUE,FALSE,TRUE,User,428,4561,26,518,6,FALSE,FALSE,FALSE,FALSE,TRUE,10,390176,467980,467944,1,1,0,0,0,0
144265,101078,20596,699,TRUE,FALSE,TRUE,TRUE,FALSE,Organization,437,12976,320,0,20,FALSE,FALSE,TRUE,FALSE,FALSE,10,428000,467980,467979,1,0,0,1,0,0
12315,100229,10324,441,FALSE,FALSE,TRUE,TRUE,TRUE,Organization,399,1450,55,0,5,TRUE,FALSE,FALSE,FALSE,FALSE,9,391217,467975,467910,1,1,0,0,0,0
23405,99833,26367,2011,FALSE,TRUE,TRUE,TRUE,TRUE,Organization,455,2800,216,34,3,TRUE,FALSE,FALSE,FALSE,FALSE,10,407985,467980,467931,1,1,0,0,0,0
1194201,98519,36170,2474,FALSE,FALSE,TRUE,TRUE,FALSE,Organization,355,116299,21568,4,4,FALSE,FALSE,FALSE,FALSE,TRUE,5,389465,467979,467980,1,0,0,1,0,0
3479,98079,7283,44,FALSE,FALSE,FALSE,FALSE,FALSE,User,98,1066,6,0,19,FALSE,FALSE,FALSE,FALSE,TRUE,14,424925,467980,467870,0,1,0,0,0,0
1002155,95490,25926,1707,FALSE,FALSE,TRUE,TRUE,TRUE,Organization,442,39001,1609,0,9,TRUE,FALSE,FALSE,FALSE,FALSE,4,393614,467979,467980,1,0,0,0,1,0
1281470,91945,34698,501,TRUE,TRUE,TRUE,FALSE,FALSE,User,364,41657,2764,413,12,TRUE,FALSE,FALSE,FALSE,FALSE,3,352597,467980,467979,1,1,0,0,0,0
2106801,91370,11772,6312,TRUE,FALSE,TRUE,TRUE,FALSE,Organization,352,34822,3621,1,4,FALSE,TRUE,FALSE,FALSE,FALSE,12,389721,467979,467976,1,0,0,1,0,0
32024,90794,11844,17,TRUE,FALSE,TRUE,FALSE,TRUE,User,140,1254,79,4074,10,FALSE,TRUE,FALSE,FALSE,FALSE,10,407687,467980,467851,1,1,0,0,0,0
323859,90736,5275,4851,TRUE,FALSE,TRUE,TRUE,FALSE,Organization,353,6597,782,0,8,FALSE,FALSE,FALSE,FALSE,TRUE,6,432420,467980,467968,0,1,0,0,0,0
101948,89458,4864,1353,TRUE,FALSE,TRUE,FALSE,TRUE,Organization,435,9371,235,1593,4,FALSE,FALSE,FALSE,TRUE,FALSE,7,423980,467979,467969,1,1,0,0,0,0
70080,89308,9233,45,FALSE,FALSE,TRUE,TRUE,FALSE,User,221,3810,8,0,18,FALSE,FALSE,FALSE,FALSE,TRUE,8,418179,467978,467740,1,0,0,0,0,1
133488,88816,7780,1481,TRUE,FALSE,TRUE,TRUE,TRUE,Organization,354,3624,2441,0,10,FALSE,FALSE,FALSE,FALSE,TRUE,15,417349,467979,467921,0,1,0,0,0,0
460502,88253,23614,1437,FALSE,FALSE,TRUE,TRUE,TRUE,Organization,385,27122,1169,0,7,FALSE,TRUE,FALSE,FALSE,FALSE,5,391954,467978,467979,1,1,0,0,0,0
380954,86798,29827,1477,FALSE,FALSE,TRUE,TRUE,TRUE,Organization,422,21931,465,255,7,FALSE,TRUE,FALSE,FALSE,FALSE,17,391213,467980,467980,1,1,0,0,0,0
155534,85964,39637,970,TRUE,TRUE,TRUE,TRUE,TRUE,Organization,376,25213,1761,1043,7,FALSE,TRUE,FALSE,FALSE,FALSE,9,397186,467979,467980,1,1,0,0,0,0
5525,83814,8606,1374,TRUE,FALSE,TRUE,TRUE,FALSE,Organization,111,2107,55,0,8,FALSE,FALSE,FALSE,FALSE,TRUE,6,419796,467980,467868,0,0,0,1,0,0
477240,83292,8946,276,FALSE,TRUE,TRUE,FALSE,FALSE,Organization,450,3536,100,334,8,FALSE,TRUE,FALSE,FALSE,FALSE,4,415096,467980,467978,1,0,0,1,0,0
15436,82392,29747,1293,TRUE,TRUE,TRUE,TRUE,TRUE,User,115,1019,44,77,19,FALSE,FALSE,FALSE,FALSE,TRUE,6,414550,467980,467733,0,1,0,0,0,0
520,82251,11150,84,TRUE,FALSE,TRUE,TRUE,FALSE,User,106,546,10,0,7,TRUE,FALSE,FALSE,FALSE,FALSE,7,411136,467979,467721,0,1,0,0,0,0
30762,82045,25100,201,TRUE,FALSE,TRUE,FALSE,FALSE,User,335,3454,43,306,8,FALSE,FALSE,FALSE,FALSE,TRUE,5,390995,467979,467910,1,0,0,0,1,0
923518,81729,10799,9578,FALSE,FALSE,TRUE,TRUE,FALSE,Organization,435,224754,54332,0,4,FALSE,FALSE,FALSE,TRUE,FALSE,8,354639,467978,467980,1,0,0,0,1,0
673299,78704,8463,2185,FALSE,FALSE,TRUE,TRUE,TRUE,Organization,365,50534,1355,8739,19,FALSE,TRUE,FALSE,FALSE,FALSE,20,405070,467980,467978,1,1,0,0,0,0
1778,77831,16473,51,FALSE,TRUE,TRUE,TRUE,TRUE,Organization,114,662,20,188,4,FALSE,FALSE,FALSE,FALSE,TRUE,15,366220,467976,466698,1,0,0,0,1,0
4031,77492,3356,287,TRUE,FALSE,TRUE,TRUE,FALSE,User,168,1636,27,0,2,FALSE,FALSE,TRUE,FALSE,FALSE,8,396801,467979,467550,0,1,0,0,0,0
30551,76923,14888,1924,TRUE,FALSE,TRUE,TRUE,TRUE,User,403,4382,599,0,16,FALSE,FALSE,TRUE,FALSE,FALSE,4,461432,467980,467978,0,0,0,0,0,1
624,75917,9672,269,FALSE,TRUE,FALSE,FALSE,FALSE,User,74,395,12,135,5,FALSE,FALSE,FALSE,FALSE,TRUE,10,463952,467980,467958,1,0,0,0,0,1
612992,75823,46258,1198,TRUE,FALSE,TRUE,TRUE,FALSE,Organization,370,9027,197,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,6,404059,467978,467923,0,0,0,0,1,0
34199,74454,6909,58,FALSE,FALSE,TRUE,TRUE,TRUE,Organization,76,891,27,47,0,FALSE,TRUE,FALSE,FALSE,FALSE,20,404583,467978,467915,1,1,0,0,0,0
10632,73488,23731,31,FALSE,FALSE,FALSE,FALSE,FALSE,Organization,402,6898,1538,0,3,FALSE,FALSE,FALSE,FALSE,TRUE,30,363189,467979,467924,1,0,1,0,0,0
509807,73143,13917,18,TRUE,FALSE,TRUE,TRUE,FALSE,User,15,246,8,0,5,FALSE,FALSE,FALSE,FALSE,TRUE,11,428906,467977,466484,0,0,1,0,0,0
230560,72780,5298,4,FALSE,FALSE,TRUE,FALSE,FALSE,Organization,244,862,19,0,7,FALSE,FALSE,FALSE,FALSE,TRUE,10,385305,467979,467797,1,0,1,0,0,0
110561,71453,12425,5369,TRUE,FALSE,TRUE,TRUE,TRUE,Organization,3,13,79,21,7,TRUE,FALSE,FALSE,FALSE,FALSE,7,369296,467980,467477,1,0,0,0,1,0
238247,70841,29243,149,FALSE,FALSE,FALSE,FALSE,FALSE,Organization,395,31730,1829,436,9,FALSE,FALSE,TRUE,FALSE,FALSE,7,370989,467979,467980,1,0,0,0,0,1
301,70775,6767,45,TRUE,FALSE,TRUE,TRUE,FALSE,Organization,78,282,3,0,5,FALSE,FALSE,FALSE,FALSE,TRUE,12,417655,467978,467058,0,0,0,0,0,1
88608,70148,2984,364,TRUE,FALSE,TRUE,TRUE,TRUE,User,111,582,17,0,3,FALSE,FALSE,FALSE,FALSE,TRUE,6,393254,467979,467840,0,0,0,0,0,1
33645,70094,18314,2,FALSE,TRUE,TRUE,FALSE,TRUE,Organization,36,731,11,624,20,FALSE,FALSE,FALSE,FALSE,TRUE,14,427446,467979,467694,1,0,0,0,0,1
6765,70042,7617,14,FALSE,TRUE,FALSE,FALSE,FALSE,User,431,5096,23,1451,2,FALSE,FALSE,FALSE,FALSE,TRUE,18,396303,467979,467915,1,0,1,0,0,0
87472,69850,10943,76,TRUE,TRUE,TRUE,FALSE,TRUE,Organization,202,1608,47,284,7,TRUE,FALSE,FALSE,FALSE,FALSE,10,445821,467979,467880,1,1,0,0,0,0
233222,69622,34255,633,FALSE,FALSE,TRUE,TRUE,FALSE,Organization,350,37598,1041,0,5,FALSE,FALSE,FALSE,FALSE,TRUE,4,359097,467979,467980,1,1,0,0,0,0
4451,69072,8993,103,FALSE,FALSE,TRUE,TRUE,TRUE,User,7,156,12,0,4,FALSE,FALSE,TRUE,FALSE,FALSE,11,406200,467980,467395,1,0,1,0,0,0
517931,68925,55318,2473,TRUE,FALSE,TRUE,FALSE,FALSE,Organization,290,32949,370,0,5,FALSE,FALSE,FALSE,FALSE,TRUE,5,372964,467978,467980,1,0,0,1,0,0
3222,68807,7459,691,FALSE,FALSE,TRUE,FALSE,FALSE,Organization,375,1684,69,0,7,FALSE,FALSE,FALSE,FALSE,TRUE,34,389706,467980,467862,1,1,0,0,0,0
13004,68626,9347,44,FALSE,FALSE,TRUE,TRUE,FALSE,Organization,446,5021,6,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,10,401466,467976,467863,0,1,0,0,0,0
93406,68597,3544,15,FALSE,FALSE,TRUE,FALSE,TRUE,Organization,244,5161,44,0,7,FALSE,FALSE,FALSE,FALSE,TRUE,8,418689,467979,467961,1,1,0,0,0,0
91172,67901,3317,817,TRUE,FALSE,TRUE,TRUE,FALSE,Organization,426,7099,133,745,3,FALSE,TRUE,FALSE,FALSE,FALSE,4,411012,467980,467980,1,1,0,0,0,0
27854,67640,11478,104,FALSE,FALSE,TRUE,TRUE,FALSE,User,86,1071,19,0,9,FALSE,FALSE,FALSE,FALSE,TRUE,19,402969,467979,467960,0,0,0,1,0,0
